Person,Dataset,Model,Accuracy,F1
data_ramiz,imdb,LSTM,0.58,0.27586206896551724
data_ramiz,imdb,BERT,0.52,0.6129032258064516
data_ramiz,imdb,DistilBERT,0.46,0.0
data_ramiz,imdb,RoBERTa,0.56,0.0
data_ramiz,imdb,FastText,0.52,0.45454545454545453
data_ramiz,amazon,LSTM,0.18,0.05491525423728814
data_ramiz,amazon,BERT,0.22,0.15712511091393078
data_ramiz,amazon,DistilBERT,0.16,0.044137931034482755
data_ramiz,amazon,RoBERTa,0.28,0.1225
data_ramiz,amazon,FastText,0.26,0.18305376344086022
data_ramiz,twitter,LSTM,0.32,0.15515151515151515
data_ramiz,twitter,BERT,0.36,0.19058823529411764
data_ramiz,twitter,DistilBERT,0.5,0.352283105022831
data_ramiz,twitter,RoBERTa,0.34,0.17253731343283582
data_ramiz,twitter,FastText,0.36,0.288
